idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
22,High-Freq-Concrete,Glass,"It is a clear, hard substance formed by heating sand and other minerals until they melt and then cooling them rapidly. The material is commonly used for windows, drinking vessels, and optical lenses.",,"When broken, will cut you very easily. Easy to see through when it is clean.",Glass,,,"The word described a hard, often clear material that's manufactured from sand. It's used to fill gaps in buildings that people can look out of.",Glass,,,"A see-through, hard material that is easy to shatter or break. It is commonly used for windows, or objects like bottles and jars.",Glass,,,the product that you look out of windows the see through substance to look out of on houses,Glass,,,"It is easy breakable, you can see threw it. Can be used for windows or doors.",Glass,
23,High-Freq-Concrete,Map,"It is a flat illustration that shows the layout of a region, marking roads, terrain, and landmarks with symbols and colors. Such a diagram includes a scale, a legend, and often a compass rose to indicate direction.",,Something you look at for directions. What you can use to find treasure.,Map,,,"A large drawing depicting land and sea, often topographically. This can either encompass the entire World or more localised areas to help you navigate.",Map,,,"A representation of an area that shows all the features and roads, used for navigating. It is usually printed on paper, but nowadays is commonly digital too.",Map,,,this is a paper version of finding out where you go this is a book showing you how to get some where,Map,,,"A piece of paper with directions on it, it will show streets, highways. So e show railways a d road construction.",Map,
24,Low-Freq-Concrete,Bouquet,"An arrangement of cut flowers, often tied together and given as a gift or used for decoration. It is commonly presented at celebrations such as weddings, birthdays, or as a token of appreciation.",,An arrangement that flowers sometimes come in. What brides throw to their wedding guests to see who is next.,Bouquet,,,"A large grouping of flowers and foliage. This is often given to someone on a special occasion, and can be delivered with a card.",Bouquet,,,"An arrangement of colourful flowers, made to look visually appealing. It is something usually given to a loved one or held by the bride at a wedding.",Bouquet,,,"this is what flowers normally come in, you get a something of flowers",Bouquet,,,"A bunch of flowers, can be put in a vase, cup or jar.",Bouquet,
25,Low-Freq-Abstract,Adulation,"It means giving someone excessive, often insincere, praise or flattery. The term is commonly used to describe the over‑the‑top admiration people show toward celebrities or leaders.",,The feeling of being completely devoted to someone or something. To be a slave to flattering.,Loyal,,,The word describes someone you can trust to have your back. The person could be relied upon in any situation.,Reliable,,,"Something or someone that always performs and can be depended upon. The word is often used to descrbe a person, or a vehicle.",Reliable,,,when some one is always there for you they are there when you need them,Loyal,,,Something or someone that tells good things a out you. Even if you are not there.,Mum,
26,High-Freq-Abstract,Knowledge,"Information, facts, and understanding acquired through learning or experience. It enables people to answer questions, solve problems, and make informed decisions.",,"The reason people pursue an education. Without it, you might be stupid.",Intelligence,,,The word describes the level of knowledge a person could have. It can also be a gauge of cleverness in an individual.,Intelligence,,,An ability to learn and understand things using mental power. It is usually associated with having a lot of knowledge and logic skills.,Intelligence,,,"this is a very very bright person and when you are like that this is what they are the person , gives very important information and known to be very bright",Smart,,,Someone that knows many things. It could be one specific thing.,Scholar,
27,High-Freq-Abstract,Age,"It is the length of time that a person, animal, or object has existed, usually counted in years, and often denotes a specific period in history. The term also describes the gradual process of getting older.",,How many years you have been alive. The measurement of how old something is.,Age,,,The word is an indicator of how old someone is. It can also be used to describe certain eras in history.,Age,,,"A numerical value that shows the duration of time that somebody or something has lived. It is usually associated with humans, but can also be used for objects too.",Age,,,this is how old you are this is a word meaning how old you are,Age,,,It goes up but never down. The higher number the more you know.,Iq,
28,High-Freq-Abstract,Credit,"In finance, it is an entry that records an amount owed to a party, reducing the balance on a ledger or indicating a loan. In everyday language, it denotes public acknowledgment or praise given to someone for their contribution or achievement.",,To purchase without having money. The other side of the checkbook is debit.,Credit,,,A word describing money that has been borrowed. You might have a plastic card in your wallet that enables this type of borrowing.,Credit,,,"A form of money that is given to purchase something, but has to be paid back. It is usually associated with a plastic card.",Credit,,,this is what you get when you pay for something this is where you get it on tick,Karma,,,What comes around goes around. Do unto others and you would have done unto you.,Karma,
29,Low-Freq-Abstract,Fame,"It is the state of being widely known and recognized, often because of notable achievements or public exposure. This condition can bring admiration, attention, and sometimes pressure from the public.",,What actors and actresses are usually trying to get. You can sometimes get 5 minutes of it.,Fame,,,This word describes the phenomenom of being widely known. People who star in movies often have this status.,Fame,,,When somebody is easily recognised by the general public because of their job or activities. It is usually associated with actors or singers.,Celebrity,,,this is someone very popular on the television they are often on big brother television show,Davina,,,It is a Hebrew name for women.,Lady,
30,Low-Freq-Concrete,Barnacle,"A marine crustacean that cements itself permanently to rocks, ship hulls, or other hard surfaces. It has a hard, cone‑shaped shell and feeds by filtering plankton from the surrounding water.",,A thing that is difficult to get rid of. Often found attached to the bottom of ships.,Bottomfeeder,,,A word used to describe an animal that scavenges on the floor of the Ocean. This word can also be a derogatory word for a person who has low socioeconomic status.,Bottom-feeder,,,Something in the ocean that eats small things from the ocean floor. It can also be used to negatively describe someone who preys on the weak and has no ethics.,Scum,,,could be the water around the bath a really bad person and was a film with ray winstone,Ring,,,"Something you put on your finer, usually has meaning and it is round. Sometimes it has a gem in them.",Ring,
31,High-Freq-Concrete,Pen,"It is a small handheld instrument used for writing or drawing by delivering ink onto paper. Often made of plastic or metal, it contains a thin cartridge of liquid ink that flows through a narrow tip when pressure is applied.",,A writing utensil. Not easily erased.,Pen,,,"A writing implement that transfers ink to paper. Several variations are available, using different types of ink.",Pen,,,A stationery item that is used for writing or drawing. It contains ink and can have different shaped tips according to the design.,Pen,,,this is an item you right with this is a female swan,Pen,,,"Something you can write with. It comes in many colors, and we'll as well and permanent colors.",Pencil,
